,id,season,token,amount,withdrawnAmount,token_name
7,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6025,6025,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,62555249514,1563881237850,ur_bean_3crv
8,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6028,6028,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,7624324478,190608111950,ur_bean_3crv
9,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6030,6030,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,48682533962,973650679240,ur_bean_3crv
10,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6032,6032,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,8970514699,224262867475,ur_bean_3crv
11,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6036,6036,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,7118130653,177953266325,ur_bean_3crv
12,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6041,6041,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,9033492273,225837306825,ur_bean_3crv
13,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6048,6048,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,35330103281,883252582025,ur_bean_3crv
14,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6051,6051,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,6464621659,161615541475,ur_bean_3crv
15,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6056,6056,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,10086399734,252159993350,ur_bean_3crv
16,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6060,6060,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,7486959821,187173995525,ur_bean_3crv
17,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6061,6061,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,2327166984,58179174600,ur_bean_3crv
18,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6062,6062,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,1960931718,49023292950,ur_bean_3crv
19,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6063,6063,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,2273720791,56843019775,ur_bean_3crv
20,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6064,6064,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,2113190174,52829754350,ur_bean_3crv
21,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6065,6065,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,33028385631,561482555727,ur_bean_3crv
22,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6069,6069,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,10336020090,258400502250,ur_bean_3crv
23,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6071,6071,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,2391786378,47835727560,ur_bean_3crv
24,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6073,6073,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,5299791501,132494787525,ur_bean_3crv
25,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6080,6080,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,1647790600,41194765000,ur_bean_3crv
26,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6089,6089,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,3154917420,53633596140,ur_bean_3crv
27,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-6245,6245,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,79747460,0,bean
28,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-6310,6310,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,23986097,0,bean
29,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-6346,6346,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,24251865,0,bean
30,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-6417,6417,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,21585748,0,bean
31,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-6441,6441,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,10980892,0,bean
32,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-6527,6527,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,34919514,0,bean
33,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-6597,6597,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,25387094,0,bean
34,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-6702,6702,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,18991455,0,bean
35,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-6801,6801,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,23247286,0,bean
36,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6803,6803,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,34199990617,683999812340,ur_bean_3crv
37,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-6900,6900,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,13065920,0,bean
38,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-6995,6995,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,7123819,0,bean
39,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-7090,7090,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6639244,0,bean
40,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-7327,7327,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,2161874,0,bean
41,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-7682,7682,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,5398896,0,bean
42,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-7918,7918,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,52454766,0,bean
43,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-7974,7974,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,32419333,0,bean
44,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-8001,8001,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,36081104,0,bean
45,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-8025,8025,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,57660888,0,bean
46,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-8050,8050,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,41979629,0,bean
47,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-8074,8074,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,54200944,0,bean
48,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-8110,8110,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,56895761,0,bean
49,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-8144,8144,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,73766769,0,bean
50,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-8169,8169,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,64912576,0,bean
51,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-8216,8216,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,86490258,0,bean
52,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-8261,8261,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,120733895,0,bean
53,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-8287,8287,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,78660434,0,bean
54,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-8339,8339,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,182024638,0,bean
55,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-8412,8412,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,98951117,0,bean
56,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-8456,8456,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,175331884,0,bean
57,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-8480,8480,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,55035725,0,bean
58,0xf05b641229bb2aa63b205ad8b423a390f7ef05a7-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-8954,8954,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,173760250,0,bean
0,0xb1d47d39c3bb868e5e4be068b7057d4caad0b31c-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-5777,5777,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,27194849194,217558793552,ur_bean_3crv
1,0xb1d47d39c3bb868e5e4be068b7057d4caad0b31c-0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449-5779,5779,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,1,0,ur_bean
2,0xb1d47d39c3bb868e5e4be068b7057d4caad0b31c-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-5779,5779,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,22401946298,134411677788,ur_bean_3crv
3,0xb1d47d39c3bb868e5e4be068b7057d4caad0b31c-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-5970,5970,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,21744009388,173952075104,ur_bean_3crv
4,0xb1d47d39c3bb868e5e4be068b7057d4caad0b31c-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-5983,5983,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,9363864901,74910919208,ur_bean_3crv
5,0xb1d47d39c3bb868e5e4be068b7057d4caad0b31c-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6010,6010,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,3109952280,24879618240,ur_bean_3crv
6,0xb1d47d39c3bb868e5e4be068b7057d4caad0b31c-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6014,6014,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,72267688155,650409193395,ur_bean_3crv
7,0xb1d47d39c3bb868e5e4be068b7057d4caad0b31c-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6018,6018,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,1688912486,13511299888,ur_bean_3crv
8,0xb1d47d39c3bb868e5e4be068b7057d4caad0b31c-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6027,6027,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,2288377541,18307020328,ur_bean_3crv
9,0xb1d47d39c3bb868e5e4be068b7057d4caad0b31c-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6036,6036,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,1832533424,14660267392,ur_bean_3crv
10,0xb1d47d39c3bb868e5e4be068b7057d4caad0b31c-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6043,6043,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,1234989722,9879917776,ur_bean_3crv
11,0xb1d47d39c3bb868e5e4be068b7057d4caad0b31c-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6056,6056,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,2443637726,19549101808,ur_bean_3crv
12,0xb1d47d39c3bb868e5e4be068b7057d4caad0b31c-0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449-6067,6067,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,1,0,ur_bean
13,0xb1d47d39c3bb868e5e4be068b7057d4caad0b31c-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6067,6067,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,2212853023,17702824184,ur_bean_3crv
14,0xb1d47d39c3bb868e5e4be068b7057d4caad0b31c-0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449-6074,6074,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,1042489206,9382402854,ur_bean
15,0xb1d47d39c3bb868e5e4be068b7057d4caad0b31c-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-8461,8461,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,73290640,0,bean
16,0xb1d47d39c3bb868e5e4be068b7057d4caad0b31c-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-8606,8606,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,33819364,0,bean
17,0xb1d47d39c3bb868e5e4be068b7057d4caad0b31c-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-9599,9599,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,2842204,0,bean
0,0x542a94e6f4d9d15aae550f7097d089f273e38f85-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-7750,7750,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,4236,0,bean
0,0x1397c24478cbe0a54572adec2a333f87ad75ac02-0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449-6074,6074,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,53576158,0,ur_bean
0,0x6a3e09694bdf65da8f6bf6bfad147811100f4c40-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-5860,5860,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,4996603245,4996603245,ur_bean_3crv
1,0x6a3e09694bdf65da8f6bf6bfad147811100f4c40-0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449-6029,6029,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,627260452,627260452,ur_bean
2,0x6a3e09694bdf65da8f6bf6bfad147811100f4c40-0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449-6074,6074,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,292213550,292213550,ur_bean
3,0x6a3e09694bdf65da8f6bf6bfad147811100f4c40-0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449-6138,6138,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,17804761,0,ur_bean
4,0x6a3e09694bdf65da8f6bf6bfad147811100f4c40-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-6138,6138,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,51849714,0,bean
0,0x3cc6cc687870c972127e073e05b956a1ee270164-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-5912,5912,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,1,119043140219,ur_bean_3crv
1,0x3cc6cc687870c972127e073e05b956a1ee270164-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-8811,8811,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,707210,0,bean
2,0x3cc6cc687870c972127e073e05b956a1ee270164-0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449-9264,9264,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,30317618007,0,ur_bean
0,0xd45accf4512af9ceac4c3ab0e770f54212cdf9ac-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6004,6004,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,9599769360,57598616160,ur_bean_3crv
1,0xd45accf4512af9ceac4c3ab0e770f54212cdf9ac-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6047,6047,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,8073724690,59392348133,ur_bean_3crv
2,0xd45accf4512af9ceac4c3ab0e770f54212cdf9ac-0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449-8492,8492,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,814980,148814980,ur_bean
3,0xd45accf4512af9ceac4c3ab0e770f54212cdf9ac-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-8599,8599,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,14859,0,bean
4,0xd45accf4512af9ceac4c3ab0e770f54212cdf9ac-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-8600,8600,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,22603,0,bean
5,0xd45accf4512af9ceac4c3ab0e770f54212cdf9ac-0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab-8695,8695,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,450479,0,bean
6,0xd45accf4512af9ceac4c3ab0e770f54212cdf9ac-0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449-8840,8840,0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,864432884,0,ur_bean
0,0x1083d7254e01becd64c3230612bf20e14010d646-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-1457,1457,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,3100439876,3100439876,ur_bean_3crv
1,0x1083d7254e01becd64c3230612bf20e14010d646-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-2944,2944,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,10867748546,0,ur_bean_3crv
2,0x1083d7254e01becd64c3230612bf20e14010d646-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-3215,3215,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,5513670894,11027341788,ur_bean_3crv
3,0x1083d7254e01becd64c3230612bf20e14010d646-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-3599,3599,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,4583486202,9166972404,ur_bean_3crv
4,0x1083d7254e01becd64c3230612bf20e14010d646-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-4206,4206,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,3494031247,6988062494,ur_bean_3crv
5,0x1083d7254e01becd64c3230612bf20e14010d646-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-4864,4864,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,2147651435,4295302870,ur_bean_3crv
6,0x1083d7254e01becd64c3230612bf20e14010d646-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-4928,4928,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,905125307,1810250614,ur_bean_3crv
7,0x1083d7254e01becd64c3230612bf20e14010d646-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-5040,5040,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,5891307658,11782615316,ur_bean_3crv
8,0x1083d7254e01becd64c3230612bf20e14010d646-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-5238,5238,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,808124627,1616249254,ur_bean_3crv
9,0x1083d7254e01becd64c3230612bf20e14010d646-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-5249,5249,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,1491999072,2983998144,ur_bean_3crv
10,0x1083d7254e01becd64c3230612bf20e14010d646-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-5626,5626,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,2447265982,4894531964,ur_bean_3crv
11,0x1083d7254e01becd64c3230612bf20e14010d646-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-5864,5864,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,3877220337,7754440674,ur_bean_3crv
12,0x1083d7254e01becd64c3230612bf20e14010d646-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-5956,5956,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,3722282247,7444564494,ur_bean_3crv
13,0x1083d7254e01becd64c3230612bf20e14010d646-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-5969,5969,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,12710184299,25420368598,ur_bean_3crv
14,0x1083d7254e01becd64c3230612bf20e14010d646-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-5973,5973,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,2848921688,5697843376,ur_bean_3crv
15,0x1083d7254e01becd64c3230612bf20e14010d646-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-5997,5997,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,3921207567,7842415134,ur_bean_3crv
16,0x1083d7254e01becd64c3230612bf20e14010d646-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6019,6019,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,6321413987,12642827974,ur_bean_3crv
17,0x1083d7254e01becd64c3230612bf20e14010d646-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6051,6051,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,4168084795,8336169590,ur_bean_3crv
18,0x1083d7254e01becd64c3230612bf20e14010d646-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6065,6065,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,1378892523,2757785046,ur_bean_3crv
19,0x1083d7254e01becd64c3230612bf20e14010d646-0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d-6072,6072,0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,3203455317,6406910634,ur_bean_3crv
